행정구역,2017년12월_남자인구수,2017년12월_여자인구수,2017년12월_계,2018년01월_남자인구수,2018년01월_여자인구수,2018년01월_계,2018년02월_남자인구수,2018년02월_여자인구수,2018년02월_계,2018년03월_남자인구수,2018년03월_여자인구수,2018년03월_계,2018년04월_남자인구수,2018년04월_여자인구수,2018년04월_계,2018년05월_남자인구수,2018년05월_여자인구수,2018년05월_계,,,,,,
전국  (1),13758,12857,26615,15630,14929,30615,14035,13554,27594,15461,14729,30190,14724,13927,28651,15112,14519,29631,,,,,,
서울특별시  (1100000000),2582,2405,4987,2724,2580,5337,2525,2433,4963,2666,2551,5217,2635,2472,5107,2688,2500,5188,,,,,,
서울특별시 종로구 (1111000000),27,34,61,34,34,68,29,21,50,37,28,65,30,28,58,25,29,54,,,,,,
서울특별시 종로구 청운효자동(1111051500),4,2,6,3,4,7,6,0,6,4,3,7,3,4,7,2,5,7,,,,,,
서울특별시 종로구 사직동(1111053000),4,1,5,2,1,3,3,1,4,2,3,5,0,0,0,3,2,5,,,,,,
서울특별시 종로구 삼청동(1111054000),0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,,,,,,
서울특별시 종로구 부암동(1111055000),1,3,4,1,4,5,1,0,1,4,3,7,2,1,3,1,3,4,,,,,,
서울특별시 종로구 평창동(1111056000),1,6,7,8,5,13,2,2,4,4,3,7,5,5,10,4,2,6,,,,,,
서울특별시 종로구 무악동(1111057000),3,1,4,0,0,0,2,2,4,1,1,2,0,0,0,0,0,0,,,,,,
서울특별시 종로구 교남동(1111058000),4,4,8,4,3,7,5,2,7,5,5,10,1,6,7,2,5,7,,,,,,
서울특별시 종로구 가회동(1111060000),0,0,0,1,1,2,3,0,3,1,3,4,2,1,3,0,2,2,,,,,,
서울특별시 종로구 종로1.2.3.4가동(1111061500),0,1,1,0,1,1,0,3,3,2,0,2,0,0,0,1,1,2,,,,,,
서울특별시 종로구 종로5.6가동(1111063000),0,2,2,2,1,3,0,2,2,0,0,0,0,1,1,0,0,0,,,,,,
서울특별시 종로구 이화동(1111064000),0,3,3,0,0,0,1,2,3,3,1,4,3,0,3,3,1,4,,,,,,
서울특별시 종로구 혜화동(1111065000),1,1,2,3,3,6,0,0,0,2,2,4,4,1,5,1,2,3,,,,,,
서울특별시 종로구 창신제1동(1111067000),0,1,1,1,1,2,0,3,3,0,2,2,2,0,2,1,2,3,,,,,,
서울특별시 종로구 창신제2동(1111068000),3,3,6,1,2,3,4,1,5,2,0,2,2,3,5,4,2,6,,,,,,
서울특별시 종로구 창신제3동(1111069000),5,3,8,4,3,7,2,2,4,4,1,5,5,3,8,2,1,3,,,,,,
서울특별시 종로구 숭인제1동(1111070000),0,2,2,0,4,4,0,0,0,1,1,2,1,2,3,0,0,0,,,,,,
서울특별시 종로구 숭인제2동(1111071000),1,1,2,2,1,3,0,1,1,0,0,0,0,1,1,1,1,2,,,,,,
서울특별시 중구 (1114000000),33,31,64,35,34,69,27,21,53,34,33,67,25,34,59,38,37,75,,,,,,
서울특별시 중구 소공동(1114052000),1,0,1,1,1,2,0,2,2,0,2,2,1,0,1,2,0,2,,,,,,
서울특별시 중구 회현동(1114054000),0,1,1,2,0,2,0,0,5,0,0,0,1,1,2,0,0,0,,,,,,
서울특별시 중구 명동(1114055000),0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,4,6,,,,,,
서울특별시 중구 필동(1114057000),2,0,2,3,2,5,2,0,2,0,0,0,0,0,0,3,1,4,,,,,,
서울특별시 중구 장충동(1114058000),2,0,2,0,2,2,3,0,3,0,1,1,1,0,1,0,1,1,,,,,,
서울특별시 중구 광희동(1114059000),1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
서울특별시 중구 을지로동(1114060500),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
서울특별시 중구 신당동(1114061500),0,2,2,0,0,0,0,0,0,1,2,3,0,1,1,2,5,7,,,,,,
서울특별시 중구 다산동(1114062500),2,2,4,2,5,7,1,4,5,2,3,5,3,2,5,2,1,3,,,,,,
서울특별시 중구 약수동(1114063500),5,5,10,7,2,9,1,6,7,11,3,14,4,7,11,5,10,15,,,,,,
서울특별시 중구 청구동(1114064500),4,4,8,3,4,7,1,0,1,8,6,14,4,2,6,4,6,10,,,,,,
서울특별시 중구 신당제5동(1114065000),3,5,8,1,2,3,2,2,4,2,4,6,1,2,3,2,1,3,,,,,,
서울특별시 중구 동화동(1114066500),3,3,6,4,3,7,0,2,2,2,1,3,4,5,9,2,2,4,,,,,,
서울특별시 중구 황학동(1114067000),6,0,6,5,4,9,7,1,8,3,4,7,2,5,7,9,1,10,,,,,,
서울특별시 중구 중림동(1114068000),4,9,13,6,9,15,10,4,14,5,6,11,3,9,12,5,4,9,,,,,,
서울특별시 용산구 (1117000000),60,59,119,78,45,123,55,54,109,55,66,121,61,59,120,61,61,122,,,,,,
서울특별시 용산구 후암동(1117051000),3,4,7,6,4,10,0,4,4,3,2,5,5,2,7,2,9,11,,,,,,
서울특별시 용산구 용산2가동(1117052000),1,3,4,5,2,7,3,4,7,5,5,10,2,2,4,2,4,6,,,,,,
서울특별시 용산구 남영동(1117053000),3,4,7,2,0,2,3,2,5,1,1,2,0,0,0,3,3,6,,,,,,
서울특별시 용산구 청파동(1117055500),4,4,8,3,3,6,4,2,6,3,5,8,0,6,6,8,1,9,,,,,,
서울특별시 용산구 원효로제1동(1117056000),9,9,18,10,6,16,9,4,13,7,7,14,7,8,15,5,4,9,,,,,,
서울특별시 용산구 원효로제2동(1117057000),4,6,10,3,5,8,3,2,5,4,5,9,4,6,10,2,4,6,,,,,,
서울특별시 용산구 효창동(1117058000),2,2,4,2,3,5,2,6,8,1,3,4,5,3,8,2,2,4,,,,,,
서울특별시 용산구 용문동(1117059000),7,6,13,2,0,2,3,3,6,4,0,4,6,4,10,4,5,9,,,,,,
서울특별시 용산구 한강로동(1117062500),3,0,3,3,4,7,1,6,7,4,3,7,11,3,14,5,7,12,,,,,,
서울특별시 용산구 이촌제1동(1117063000),7,8,15,14,4,18,10,10,20,4,6,10,4,6,10,7,8,15,,,,,,
서울특별시 용산구 이촌제2동(1117064000),3,2,5,8,1,9,3,5,8,2,12,14,1,3,4,4,3,7,,,,,,
서울특별시 용산구 이태원제1동(1117065000),3,1,4,3,2,5,3,2,5,4,1,5,0,0,0,4,1,5,,,,,,
서울특별시 용산구 이태원제2동(1117066000),1,1,2,3,1,4,2,1,3,2,2,4,4,3,7,3,2,5,,,,,,
서울특별시 용산구 한남동(1117068500),8,5,13,7,6,13,7,0,7,5,7,12,6,6,12,4,3,7,,,,,,
서울특별시 용산구 서빙고동(1117069000),2,3,5,4,2,6,0,1,1,2,4,6,4,5,9,4,2,6,,,,,,
서울특별시 용산구 보광동(1117070000),0,1,1,3,2,5,2,2,4,4,3,7,2,2,4,2,3,5,,,,,,
서울특별시 성동구 (1120000000),87,86,173,98,102,200,94,95,189,134,89,223,106,95,201,122,88,210,,,,,,
서울특별시 성동구 왕십리제2동(1120052000),8,4,12,7,10,17,9,9,18,12,4,16,11,5,16,6,10,16,,,,,,
서울특별시 성동구 왕십리도선동(1120053500),11,9,20,8,12,20,10,14,24,16,8,24,9,11,20,10,11,21,,,,,,
서울특별시 성동구 마장동(1120054000),5,4,9,5,6,11,4,7,11,11,3,14,4,12,16,8,6,14,,,,,,
서울특별시 성동구 사근동(1120055000),0,1,1,1,1,2,3,0,3,1,1,2,2,4,6,1,2,3,,,,,,
서울특별시 성동구 행당제1동(1120056000),5,3,8,4,2,6,3,1,4,2,1,3,5,5,10,1,2,3,,,,,,
서울특별시 성동구 행당제2동(1120057000),7,13,20,9,9,18,7,6,13,10,11,21,11,9,20,14,9,23,,,,,,
서울특별시 성동구 응봉동(1120058000),3,6,9,4,2,6,2,6,8,9,5,14,3,1,4,4,8,12,,,,,,
서울특별시 성동구 금호1가동(1120059000),3,6,9,4,4,8,6,2,8,4,5,9,9,3,12,7,7,14,,,,,,
서울특별시 성동구 금호2.3가동(1120061500),10,3,13,9,9,18,12,7,19,11,9,20,11,11,22,10,3,13,,,,,,
서울특별시 성동구 금호4가동(1120062000),6,4,10,4,4,8,5,7,12,7,8,15,10,3,13,16,3,19,,,,,,
서울특별시 성동구 옥수동(1120064500),6,13,19,12,21,33,7,11,18,16,13,29,7,7,14,19,5,24,,,,,,
서울특별시 성동구 성수1가제1동(1120065000),4,5,9,7,5,12,5,3,8,11,6,17,8,5,13,13,4,17,,,,,,
서울특별시 성동구 성수1가제2동(1120066000),5,4,9,7,3,10,4,10,14,4,4,8,5,7,12,3,6,9,,,,,,
서울특별시 성동구 성수2가제1동(1120067000),8,3,11,8,5,13,3,6,9,5,3,8,2,5,7,1,3,4,,,,,,
서울특별시 성동구 성수2가제3동(1120069000),2,2,4,4,3,7,4,2,6,10,2,12,2,1,3,3,3,6,,,,,,
서울특별시 성동구 송정동(1120072000),4,1,5,3,5,8,4,2,6,4,2,6,1,3,4,2,2,4,,,,,,
서울특별시 성동구 용답동(1120079000),0,5,5,2,1,3,6,2,8,1,4,5,6,3,9,4,4,8,,,,,,
서울특별시 광진구 (1121500000),91,86,177,104,85,189,103,94,197,96,109,205,105,79,184,90,87,177,,,,,,
서울특별시 광진구 화양동(1121571000),3,1,4,6,3,9,1,1,2,2,2,4,2,3,5,3,1,4,,,,,,
서울특별시 광진구 군자동(1121573000),5,9,14,6,10,16,7,2,9,4,5,9,8,7,15,6,0,6,,,,,,
서울특별시 광진구 중곡제1동(1121574000),3,2,5,2,5,7,5,5,10,6,9,15,8,6,14,5,3,8,,,,,,
서울특별시 광진구 중곡제2동(1121575000),6,2,8,11,12,23,7,3,10,4,12,16,8,6,14,6,6,12,,,,,,
서울특별시 광진구 중곡제3동(1121576000),3,5,8,2,2,4,5,4,9,4,5,9,5,3,8,6,2,8,,,,,,
서울특별시 광진구 중곡제4동(1121577000),11,6,17,8,5,13,13,16,29,9,11,20,9,6,15,8,9,17,,,,,,
서울특별시 광진구 능동(1121578000),3,3,6,4,3,7,3,8,11,4,7,11,5,2,7,1,5,6,,,,,,
서울특별시 광진구 광장동(1121581000),14,6,20,3,3,6,9,6,15,7,5,12,8,3,11,6,3,9,,,,,,
서울특별시 광진구 자양제1동(1121582000),2,8,10,4,6,10,3,5,8,7,4,11,7,3,10,3,7,10,,,,,,
서울특별시 광진구 자양제2동(1121583000),8,11,19,10,6,16,4,8,12,9,7,16,7,6,13,12,8,20,,,,,,
서울특별시 광진구 자양제3동(1121584000),10,9,19,9,5,14,20,11,31,12,7,19,10,10,20,10,5,15,,,,,,
서울특별시 광진구 자양제4동(1121584700),3,4,7,7,6,13,5,4,9,3,7,10,6,7,13,2,10,12,,,,,,
서울특별시 광진구 구의제1동(1121585000),4,7,11,9,4,13,7,10,17,7,8,15,4,10,14,10,11,21,,,,,,
서울특별시 광진구 구의제2동(1121586000),10,4,14,15,7,22,7,7,14,10,9,19,11,2,13,6,10,16,,,,,,
서울특별시 광진구 구의제3동(1121587000),6,9,15,8,8,16,7,4,11,8,11,19,7,5,12,6,7,13,,,,,,
서울특별시 동대문구 (1123000000),86,82,168,88,93,181,80,64,144,78,76,154,89,81,170,88,71,159,,,,,,
서울특별시 동대문구 용신동(1123053600),6,13,19,9,5,14,8,5,13,11,5,16,8,6,14,5,8,13,,,,,,
서울특별시 동대문구 제기동(1123054500),6,2,8,5,7,12,4,1,5,7,7,14,5,8,13,7,4,11,,,,,,
서울특별시 동대문구 전농제1동(1123056000),7,6,13,11,5,16,7,4,11,12,5,17,8,10,18,9,3,12,,,,,,
서울특별시 동대문구 전농제2동(1123057000),7,5,12,3,7,10,2,3,5,6,5,11,10,2,12,2,8,10,,,,,,
서울특별시 동대문구 답십리제1동(1123060000),6,14,20,7,14,21,10,4,14,9,7,16,6,8,14,15,7,22,,,,,,
서울특별시 동대문구 답십리제2동(1123061000),8,6,14,3,10,13,9,7,16,3,4,7,6,7,13,6,6,12,,,,,,
서울특별시 동대문구 장안제1동(1123065000),14,8,22,15,10,25,7,18,25,8,12,20,12,14,26,14,7,21,,,,,,
서울특별시 동대문구 장안제2동(1123066000),9,8,17,10,11,21,14,6,20,5,4,9,9,6,15,12,4,16,,,,,,
서울특별시 동대문구 청량리동(1123070500),4,5,9,4,0,4,3,2,5,5,3,8,2,3,5,6,2,8,,,,,,
서울특별시 동대문구 회기동(1123071000),1,2,3,3,1,4,1,1,2,3,3,6,1,3,4,1,2,3,,,,,,
서울특별시 동대문구 휘경제1동(1123072000),2,0,2,4,8,12,3,3,6,0,4,4,2,1,3,2,2,4,,,,,,
서울특별시 동대문구 휘경제2동(1123073000),7,6,13,8,5,13,6,1,7,6,7,13,11,4,15,4,5,9,,,,,,
서울특별시 동대문구 이문제1동(1123074000),3,1,4,4,5,9,3,5,8,1,8,9,6,6,12,0,9,9,,,,,,
서울특별시 동대문구 이문제2동(1123075000),6,6,12,2,5,7,3,4,7,2,2,4,3,3,6,5,4,9,,,,,,
서울특별시 중랑구 (1126000000),119,104,223,124,121,245,105,92,197,117,101,218,122,102,224,107,111,218,,,,,,
서울특별시 중랑구 면목제2동(1126052000),6,3,9,8,9,17,7,10,17,5,4,9,8,5,13,9,4,13,,,,,,
서울특별시 중랑구 면목제4동(1126054000),5,7,12,5,5,10,7,9,16,7,4,11,5,8,13,5,8,13,,,,,,
서울특별시 중랑구 면목제5동(1126055000),1,0,1,5,6,11,4,2,6,3,2,5,1,4,5,1,4,5,,,,,,
서울특별시 중랑구 면목본동(1126056500),9,15,24,6,14,20,7,7,14,8,10,18,8,10,18,15,6,21,,,,,,
서울특별시 중랑구 면목제7동(1126057000),7,6,13,6,12,18,3,4,7,8,6,14,7,4,11,7,5,12,,,,,,
서울특별시 중랑구 면목제3.8동(1126057500),5,6,11,10,5,15,11,2,13,4,6,10,6,5,11,4,3,7,,,,,,
서울특별시 중랑구 상봉제1동(1126058000),2,9,11,12,9,21,7,6,13,15,4,19,8,8,16,9,9,18,,,,,,
서울특별시 중랑구 상봉제2동(1126059000),4,2,6,7,5,12,4,6,10,1,11,12,7,5,12,4,7,11,,,,,,
서울특별시 중랑구 중화제1동(1126060000),12,9,21,10,4,14,7,3,10,12,8,20,10,5,15,8,8,16,,,,,,
서울특별시 중랑구 중화제2동(1126061000),9,7,16,11,8,19,4,4,8,4,2,6,8,5,13,5,4,9,,,,,,
서울특별시 중랑구 묵제1동(1126062000),16,12,28,10,9,19,6,5,11,13,10,23,8,10,18,7,13,20,,,,,,
서울특별시 중랑구 묵제2동(1126063000),6,4,10,4,8,12,6,9,15,6,9,15,5,7,12,4,10,14,,,,,,
서울특별시 중랑구 망우본동(1126065500),13,8,21,11,7,18,11,8,19,3,5,8,14,8,22,8,8,16,,,,,,
서울특별시 중랑구 망우제3동(1126066000),6,2,8,6,4,10,3,4,7,5,4,9,6,4,10,0,3,3,,,,,,
서울특별시 중랑구 신내1동(1126068000),12,6,18,6,7,13,9,8,17,13,10,23,12,8,20,14,12,26,,,,,,
서울특별시 중랑구 신내2동(1126069000),6,8,14,7,9,16,9,5,14,10,6,16,9,6,15,7,7,14,,,,,,
서울특별시 성북구 (1129000000),108,89,197,108,95,203,99,93,192,97,101,198,101,97,198,105,95,200,,,,,,
서울특별시 성북구 성북동(1129052500),3,6,9,7,1,8,2,3,5,2,1,3,0,2,2,1,4,5,,,,,,
서울특별시 성북구 삼선동(1129055500),7,7,14,4,4,8,2,5,7,10,3,13,5,6,11,8,6,14,,,,,,
서울특별시 성북구 동선동(1129057500),1,3,4,4,3,7,2,6,8,1,4,5,3,6,9,5,4,9,,,,,,
서울특별시 성북구 돈암제1동(1129058000),6,4,10,3,7,10,7,3,10,2,6,8,7,5,12,5,4,9,,,,,,
서울특별시 성북구 돈암제2동(1129059000),6,9,15,5,5,10,10,5,15,5,10,15,7,8,15,8,6,14,,,,,,
서울특별시 성북구 안암동(1129060000),1,1,2,3,1,4,3,0,3,3,4,7,0,3,3,4,4,8,,,,,,
서울특별시 성북구 보문동(1129061000),3,3,6,3,6,9,7,4,11,5,6,11,8,3,11,4,5,9,,,,,,
서울특별시 성북구 정릉제1동(1129062000),9,3,12,6,3,9,5,2,7,5,2,7,5,5,10,6,6,12,,,,,,
서울특별시 성북구 정릉제2동(1129063000),3,2,5,6,6,12,5,4,9,6,6,12,8,7,15,5,4,9,,,,,,
서울특별시 성북구 정릉제3동(1129064000),3,4,7,3,8,11,3,6,9,5,3,8,4,2,6,4,3,7,,,,,,
서울특별시 성북구 정릉제4동(1129065000),8,4,12,7,4,11,4,3,7,9,11,20,9,7,16,6,8,14,,,,,,
서울특별시 성북구 길음제1동(1129066000),13,11,24,12,11,23,12,10,22,9,8,17,9,9,18,9,9,18,,,,,,
서울특별시 성북구 길음제2동(1129068500),2,2,4,1,2,3,2,4,6,2,2,4,2,0,2,4,3,7,,,,,,
서울특별시 성북구 종암동(1129070500),13,10,23,12,12,24,7,6,13,3,10,13,9,12,21,10,11,21,,,,,,
서울특별시 성북구 월곡제1동(1129071500),7,4,11,3,6,9,10,11,21,9,2,11,7,3,10,10,1,11,,,,,,
서울특별시 성북구 월곡제2동(1129072500),10,5,15,7,3,10,8,7,15,6,8,14,4,4,8,2,5,7,,,,,,
서울특별시 성북구 장위제1동(1129076000),2,5,7,6,3,9,3,5,8,4,4,8,2,5,7,5,1,6,,,,,,
서울특별시 성북구 장위제2동(1129077000),5,0,5,5,2,7,1,1,2,3,0,3,3,2,5,1,3,4,,,,,,
서울특별시 성북구 장위제3동(1129078000),2,1,3,3,0,3,0,3,3,1,2,3,2,1,3,3,3,6,,,,,,
서울특별시 성북구 석관동(1129081000),4,5,9,8,8,16,6,5,11,7,9,16,7,7,14,5,5,10,,,,,,
서울특별시 강북구 (1130500000),65,75,140,57,80,137,62,69,131,58,59,117,53,65,118,76,59,135,,,,,,
서울특별시 강북구 삼양동(1130553400),4,7,11,5,11,16,6,7,13,6,5,11,2,3,5,6,5,11,,,,,,
서울특별시 강북구 미아동(1130553500),3,3,6,6,10,16,4,6,10,2,1,3,1,5,6,6,6,12,,,,,,
서울특별시 강북구 송중동(1130554500),5,6,11,1,7,8,5,2,7,8,6,14,6,6,12,8,2,10,,,,,,
서울특별시 강북구 송천동(1130555500),4,4,8,6,4,10,5,6,11,3,4,7,5,8,13,6,9,15,,,,,,
서울특별시 강북구 삼각산동(1130557500),16,8,24,7,6,13,7,5,12,4,6,10,11,12,23,5,9,14,,,,,,
서울특별시 강북구 번제1동(1130559000),3,4,7,5,7,12,4,4,8,3,4,7,4,2,6,0,2,2,,,,,,
서울특별시 강북구 번제2동(1130560000),1,5,6,4,6,10,6,4,10,2,4,6,3,3,6,5,5,10,,,,,,
서울특별시 강북구 번제3동(1130560600),5,2,7,2,4,6,1,8,9,4,4,8,3,1,4,9,3,12,,,,,,
서울특별시 강북구 수유제1동(1130561000),3,5,8,2,2,4,4,5,9,2,6,8,1,1,2,4,6,10,,,,,,
서울특별시 강북구 수유제2동(1130562000),6,7,13,4,3,7,4,5,9,3,4,7,3,5,8,3,0,3,,,,,,
